"id","param_name","param_unit","param_intro","param_scope","param_maintainer","param_scope_sc"
"25","time to reach 0.5% strain level","h","达到0.5%应变的时间"," material_name,test_stress,test_org,std_num,test_time,test_temp, param_name,param_value, alloy_report_info.report_name,param_maintainer,upload_time","刘敏","{合金名称,测试应力,测试机构,测试标准,测试日期,测试温度,参数名称,参数值,数据报告名称,参数负责人,数据上传时间}"
"26","time to reach 1% strain level","h","达到1%应变的时间"," material_name,test_stress,test_org,std_num,test_time,test_temp, param_name,param_value, alloy_report_info.report_name,param_maintainer,upload_time","刘敏","{合金名称,测试应力,测试机构,测试标准,测试日期,测试温度,参数名称,参数值,数据报告名称,参数负责人,数据上传时间}"
"27","time to reach 2% strain level","h","达到2%应变的时间"," material_name,test_stress,test_org,std_num,test_time,test_temp, param_name,param_value, alloy_report_info.report_name,param_maintainer,upload_time","刘敏","{合金名称,测试应力,测试机构,测试标准,测试日期,测试温度,参数名称,参数值,数据报告名称,参数负责人,数据上传时间}"
"28","time to reach 5% strain level","h","达到5%应变的时间"," material_name,test_stress,test_org,std_num,test_time,test_temp, param_name,param_value, alloy_report_info.report_name,param_maintainer,upload_time","刘敏","{合金名称,测试应力,测试机构,测试标准,测试日期,测试温度,参数名称,参数值,数据报告名称,参数负责人,数据上传时间}"
"29","rupture time","h","寿命"," material_name,test_stress,test_org,std_num,test_time,test_temp, param_name,param_value, alloy_report_info.report_name,param_maintainer,upload_time","刘敏","{合金名称,测试应力,测试机构,测试标准,测试日期,测试温度,参数名称,参数值,数据报告名称,参数负责人,数据上传时间}"
"30","minimum creep rate","%/h","最小蠕变速率"," material_name,test_stress,test_org,std_num,test_time,test_temp, param_name,param_value, alloy_report_info.report_name,param_maintainer,upload_time","刘敏","{合金名称,测试应力,测试机构,测试标准,测试日期,测试温度,参数名称,参数值,数据报告名称,参数负责人,数据上传时间}"
"31","elongation at fracture","%","断裂延伸率"," material_name,test_stress,test_org,std_num,test_time,test_temp, param_name,param_value, alloy_report_info.report_name,param_maintainer,upload_time","刘敏","{合金名称,测试应力,测试机构,测试标准,测试日期,测试温度,参数名称,参数值,数据报告名称,参数负责人,数据上传时间}"
"32","Cyclic number to rupture","","50%寿命应力范围循环断裂周次","material_name,alloy_batch,alloy_shape,test_org,std_num,test_temp,effect_factor1_value,effect_factor1_name,effect_factor2_value,effect_factor2_name,test_direction,param_value, alloy_report_info.report_name,param_maintainer,upload_time","周伯谋","{合金名称,批次,型材形状,测试机构,测试标准,测试温度,应变比的数值,应变比,波的频率,波形,测试取样方向,参数值,数据报告名称,参数负责人,数据上传时间}"
"33","Stress range at 50% Nf","MPa","50%寿命应力范围"," material_name,test_stress,test_org,std_num,test_time,test_temp, param_name,param_value, alloy_report_info.report_name,param_maintainer,upload_time","周伯谋","{合金名称,测试应力,测试机构,测试标准,测试日期,测试温度,参数名称,参数值,数据报告名称,参数负责人,数据上传时间}"
"34","Fracture position","","断裂位置"," material_name,test_stress,test_org,std_num,test_time,test_temp, param_name,param_value, alloy_report_info.report_name,param_maintainer,upload_time","周伯谋","{合金名称,测试应力,测试机构,测试标准,测试日期,测试温度,参数名称,参数值,数据报告名称,参数负责人,数据上传时间}"
"35","Total hold time","h","总保持时间"," material_name,test_stress,test_org,std_num,test_time,test_temp, param_name,param_value, alloy_report_info.report_name,param_maintainer,upload_time","周伯谋","{合金名称,测试应力,测试机构,测试标准,测试日期,测试温度,参数名称,参数值,数据报告名称,参数负责人,数据上传时间}"
"36","Maximum stress","MPa","最大应力"," material_name,test_stress,test_org,std_num,test_time,test_temp, param_name,param_value, alloy_report_info.report_name,param_maintainer,upload_time","周伯谋","{合金名称,测试应力,测试机构,测试标准,测试日期,测试温度,参数名称,参数值,数据报告名称,参数负责人,数据上传时间}"
"37","Creep-fatigue damage","","蠕变-疲劳损伤"," material_name,alloy_batch,alloy_shape,test_org,std_num,test_time,test_temp, test_duration,test_direction,param_value, alloy_report_info.report_name,param_maintainer,upload_time","周伯谋","{合金名称,批次,型材形状,测试机构,测试标准,测试日期,测试温度,测试时长,测试取样方向,参数值,数据报告名称,参数负责人,数据上传时间}"
"38","Impact energy","J","冲击功"," material_name,alloy_batch,alloy_shape,test_org,std_num,test_direction,test_time,test_duration,test_temp,param_value,alloy_report_info.report_name,param_maintainer,upload_time","李肖科","{合金名称,批次,型材形状,测试机构,测试标准,测试取样方向,测试日期,测试时长,测试温度,参数值,数据报告名称,参数负责人,数据上传时间}"
"39","lateral expansion","mm","侧膨胀量"," material_name,test_stress,test_org,std_num,test_time,test_temp, param_name,param_value, alloy_report_info.report_name,param_maintainer,upload_time","李肖科","{合金名称,测试应力,测试机构,测试标准,测试日期,测试温度,参数名称,参数值,数据报告名称,参数负责人,数据上传时间}"
"40","Oxidation mass gain","mg/cm2","氧化增重"," material_name,test_stress,test_org,std_num,test_time,test_temp, param_name,param_value, alloy_report_info.report_name,param_maintainer,upload_time","陆燕玲","{合金名称,测试应力,测试机构,测试标准,测试日期,测试温度,参数名称,参数值,数据报告名称,参数负责人,数据上传时间}"
"41","Specific heat capacity","J/(kg?K)","比热"," material_name,test_stress,test_org,std_num,test_time,test_temp, param_name,param_value, alloy_report_info.report_name,param_maintainer,upload_time","叶林凤","{合金名称,测试应力,测试机构,测试标准,测试日期,测试温度,参数名称,参数值,数据报告名称,参数负责人,数据上传时间}"
