"id","param_unit","param_intro","param_maintainer","param_name","param_scope","param_scope_sc"
"19","ppm","钛含量 ","","Ti content","{material_grade,material_batch,material_manufacturer,std_name,sample_index,sample_size,test_time,test_org,test_temp,sample_num,data_source,param_value,upload_time}","{牌号,材料批次,生产厂家,标准名称,样品编号,样品规格,测试时间,测试单位,测试温度,样品数量,数据来源,参数值,数据上传时间}"
"20","ppm","钒含量 ","","V content","{material_grade,material_batch,material_manufacturer,std_name,sample_index,sample_size,test_time,test_org,test_temp,sample_num,data_source,param_value,upload_time}","{牌号,材料批次,生产厂家,标准名称,样品编号,样品规格,测试时间,测试单位,测试温度,样品数量,数据来源,参数值,数据上传时间}"
"21","ppm","汞含量 ","","Hg content","{material_grade,material_batch,material_manufacturer,std_name,sample_index,sample_size,test_time,test_org,test_temp,sample_num,data_source,param_value,upload_time}","{牌号,材料批次,生产厂家,标准名称,样品编号,样品规格,测试时间,测试单位,测试温度,样品数量,数据来源,参数值,数据上传时间}"
"22","ppm","铑含量 ","","Rh content","{material_grade,material_batch,material_manufacturer,std_name,sample_index,sample_size,test_time,test_org,test_temp,sample_num,data_source,param_value,upload_time}","{牌号,材料批次,生产厂家,标准名称,样品编号,样品规格,测试时间,测试单位,测试温度,样品数量,数据来源,参数值,数据上传时间}"
"23","ppm","铟含量 ","","In content","{material_grade,material_batch,material_manufacturer,std_name,sample_index,sample_size,test_time,test_org,test_temp,sample_num,data_source,param_value,upload_time}","{牌号,材料批次,生产厂家,标准名称,样品编号,样品规格,测试时间,测试单位,测试温度,样品数量,数据来源,参数值,数据上传时间}"
"24","g/cm3","密度","","Bulk density","{material_grade,material_batch,material_manufacturer,std_name,sample_index,sample_size,test_time,test_org,test_temp,sample_num,data_source,param_value,upload_time}","{牌号,材料批次,生产厂家,标准名称,样品编号,样品规格,测试时间,测试单位,测试温度,样品数量,数据来源,参数值,数据上传时间}"
"25","×10-6/K","热胀系数","","Linear thermal expansion","{material_grade,material_batch,material_manufacturer,std_name,sample_index,sample_size,test_time,test_org,test_temp,test_temp_span,sample_num,data_source,param_value,upload_time}","{牌号,材料批次,生产厂家,标准名称,样品编号,样品规格,测试时间,测试单位,测试温度,测试温度区间,样品数量,数据来源,参数值,数据上传时间}"
"26","","热胀系数各向异性系数","","CTE isotropy ratio","{material_grade,material_batch,material_manufacturer,std_name,sample_index,sample_size,test_time,test_org,test_temp,test_temp_span,sample_num,data_source,param_value,upload_time}","{牌号,材料批次,生产厂家,标准名称,样品编号,样品规格,测试时间,测试单位,测试温度,测试温度区间,样品数量,数据来源,参数值,数据上传时间}"
"27","W/m?K","热导率","","Thermal diffusivity","{material_grade,material_batch,material_manufacturer,std_name,sample_index,sample_size,test_time,test_org,test_temp,test_temp_span,sample_num,data_source,param_value,upload_time}","{牌号,材料批次,生产厂家,标准名称,样品编号,样品规格,测试时间,测试单位,测试温度,测试温度区间,样品数量,数据来源,参数值,数据上传时间}"
"28","MPa","抗拉强度 ","","Tensile strength","{material_grade,material_batch,material_manufacturer,std_name,sample_index,sample_size,test_time,test_org,test_temp,test_temp_span,sample_num,data_source,param_value,upload_time}","{牌号,材料批次,生产厂家,标准名称,样品编号,样品规格,测试时间,测试单位,测试温度,测试温度区间,样品数量,数据来源,参数值,数据上传时间}"
"29","MPa","抗折强度","","Flexure strength","{material_grade,material_batch,material_manufacturer,std_name,sample_index,sample_size,test_time,test_org,test_temp,test_temp_span,sample_num,data_source,param_value,upload_time}","{牌号,材料批次,生产厂家,标准名称,样品编号,样品规格,测试时间,测试单位,测试温度,测试温度区间,样品数量,数据来源,参数值,数据上传时间}"
"30","MPa","抗压强度 ","","Compression strength","{material_grade,material_batch,material_manufacturer,std_name,sample_index,sample_size,test_time,test_org,test_temp,test_temp_span,sample_num,data_source,param_value,upload_time}","{牌号,材料批次,生产厂家,标准名称,样品编号,样品规格,测试时间,测试单位,测试温度,测试温度区间,样品数量,数据来源,参数值,数据上传时间}"
"31","Gpa","静态弹性模量","","Static elastic modulus","{material_grade,material_batch,material_manufacturer,std_name,sample_index,sample_size,test_time,test_org,test_temp,test_temp_span,sample_num,data_source,param_value,upload_time}","{牌号,材料批次,生产厂家,标准名称,样品编号,样品规格,测试时间,测试单位,测试温度,测试温度区间,样品数量,数据来源,参数值,数据上传时间}"
"32","Gpa","动态弹性模量","","Dynamic elastic modulus","{material_grade,material_batch,material_manufacturer,std_name,sample_index,sample_size,test_time,test_org,test_temp,test_temp_span,sample_num,data_source,param_value,upload_time}","{牌号,材料批次,生产厂家,标准名称,样品编号,样品规格,测试时间,测试单位,测试温度,测试温度区间,样品数量,数据来源,参数值,数据上传时间}"
"33","","泊松比","","Poisson’s Ratio","{material_grade,material_batch,material_manufacturer,std_name,sample_index,sample_size,test_time,test_org,test_temp,test_temp_span,sample_num,data_source,param_value,upload_time}","{牌号,材料批次,生产厂家,标准名称,样品编号,样品规格,测试时间,测试单位,测试温度,测试温度区间,样品数量,数据来源,参数值,数据上传时间}"
"34","MPa?m1/2","临界应力强度因子","","KIC Critical stress intensity factor","{material_grade,material_batch,material_manufacturer,std_name,sample_index,sample_size,test_time,test_org,test_temp,test_temp_span,sample_num,data_source,param_value,upload_time}","{牌号,材料批次,生产厂家,标准名称,样品编号,样品规格,测试时间,测试单位,测试温度,测试温度区间,样品数量,数据来源,参数值,数据上传时间}"
"35","N"," 最大力","","F Maximum Test Force","{material_grade,material_batch,material_manufacturer,std_name,sample_index,sample_size,test_time,test_org,test_temp,test_temp_span,sample_num,data_source,param_value,upload_time}","{牌号,材料批次,生产厂家,标准名称,样品编号,样品规格,测试时间,测试单位,测试温度,测试温度区间,样品数量,数据来源,参数值,数据上传时间}"
"36","MPa","二参数威布尔分布特征强度（95%单边置信区间）","","Sc95% the computed 95% single side confidence interval value for Weibull characteristic strenths that defines the material reliability curve.","{material_grade,material_batch,material_manufacturer,std_name,sample_index,sample_size,test_time,test_org,test_temp,test_temp_span,sample_num,data_source,param_value,upload_time}","{牌号,材料批次,生产厂家,标准名称,样品编号,样品规格,测试时间,测试单位,测试温度,测试温度区间,样品数量,数据来源,参数值,数据上传时间}"
"37","/","二参数威布尔分布形状因子（95%单边置信区间）","","m95%  the computed 95% single side confidence interval value for Weibull  modulus that defines the material reliability curve.","{material_grade,material_batch,material_manufacturer,std_name,sample_index,sample_size,test_time,test_org,test_temp,test_temp_span,sample_num,data_source,param_value,upload_time}","{牌号,材料批次,生产厂家,标准名称,样品编号,样品规格,测试时间,测试单位,测试温度,测试温度区间,样品数量,数据来源,参数值,数据上传时间}"
"38","MPa","10-4失效概率设计许用应力值","","Sg(10-4） the design allowable stress value corresponding to the Probality of Failure of 10-4","{material_grade,material_batch,material_manufacturer,std_name,sample_index,sample_size,test_time,test_org,test_temp,test_temp_span,sample_num,data_source,param_value,upload_time}","{牌号,材料批次,生产厂家,标准名称,样品编号,样品规格,测试时间,测试单位,测试温度,测试温度区间,样品数量,数据来源,参数值,数据上传时间}"
"39","MPa","10-3失效概率设计许用应力值","","Sg(10-3）the design allowable stress value corresponding to the Probality of Failure of 10-3","{material_grade,material_batch,material_manufacturer,std_name,sample_index,sample_size,test_time,test_org,test_temp,test_temp_span,sample_num,data_source,param_value,upload_time}","{牌号,材料批次,生产厂家,标准名称,样品编号,样品规格,测试时间,测试单位,测试温度,测试温度区间,样品数量,数据来源,参数值,数据上传时间}"
"40","MPa","10-2失效概率设计许用应力值","","Sg(10-2）the design allowable stress value corresponding to the Probality of Failure of 10-2","{material_grade,material_batch,material_manufacturer,std_name,sample_index,sample_size,test_time,test_org,test_temp,test_temp_span,sample_num,data_source,param_value,upload_time}","{牌号,材料批次,生产厂家,标准名称,样品编号,样品规格,测试时间,测试单位,测试温度,测试温度区间,样品数量,数据来源,参数值,数据上传时间}"
"41","MPa","5×10-2失效概率设计许用应力值","","Sg(5×10-2）the design allowable stress value corresponding to the Probality of Failure of 5×10-2","{material_grade,material_batch,material_manufacturer,std_name,sample_index,sample_size,test_time,test_org,test_temp,test_temp_span,sample_num,data_source,param_value,upload_time}","{牌号,材料批次,生产厂家,标准名称,样品编号,样品规格,测试时间,测试单位,测试温度,测试温度区间,样品数量,数据来源,参数值,数据上传时间}"
"42","wt. %","平均浸渗增重比","","average infiltration weight gain","{material_grade,material_batch,material_manufacturer,std_name,sample_index,sample_size,test_time,test_org,test_temp,test_temp_span,sample_num,data_source,param_value,upload_time}","{牌号,材料批次,生产厂家,标准名称,样品编号,样品规格,测试时间,测试单位,测试温度,测试温度区间,样品数量,数据来源,参数值,数据上传时间}"
"43","","熔盐浸渗标准偏差 ","","infiltration weight gain standard deviation","{material_grade,material_batch,material_manufacturer,std_name,sample_index,sample_size,test_time,test_org,test_temp,test_temp_span,sample_num,data_source,param_value,upload_time}","{牌号,材料批次,生产厂家,标准名称,样品编号,样品规格,测试时间,测试单位,测试温度,测试温度区间,样品数量,数据来源,参数值,数据上传时间}"
